Gen1	Gen2	Gen3	Gen4	Gen5	control1	control2	control3	control4	control5
Butyrivibrio hungatei	838.879234590506	1300.3539348567	2218.51654470962	481.573657847827	1094.51839429353	2716.47718753416	2249.17875438223	2362.7871982635	2285.95200557442	769.730202931221
Butyrivibrio proteoclasticus	67.641355012196	54.1141078480737	0	0	0	177.107328112879	301.540723448943	379.699326002475	0	0
Caldalkalibacillus thermarum	51.2051379064288	60.575493859784	70.0703136892494	80.2622763079711	91.4185844203982	34.9225717405677	46.1312300798756	44.2181493572502	61.2936581714461	73.2598498226586
Caldicellulosiruptor danielii	32.8724342115345	46.0373753334358	28.2541587456651	48.3299728306063	62.6154687810946	31.1808676255069	42.7557742203725	27.8766593773969	42.2021908721432	64.2278135431527
Caldinitratiruptor microaerophilus	9.48243294563496	31.4992568070877	0	26.7540921026571	0	17.4612858702838	0	20.1865464457012	0	0
Caloramator sp. mosi_1	140.340007595397	151.034898023728	188.737780421043	140.674742346229	205.37873760199	137.19581755223	0	114.390429858973	166.799135351804	149.530378405152
Calothrix sp. PCC 6303	7.58594635650797	0	12.4318298480926	0	15.0277125074627	0	0	17.3027540963153	0	32.1139067715764
Campylobacter jejuni	195.970280876456	398.182912971647	141.270793728325	190.730785635071	247.957256373135	395.373401491427	329.669522278136	280.689122006893	214.025396565869	207.736834428635
Candidatus Arthromitus sp. SFB-mouse	0	3647.45240361046	122.057965781273	795.718481246768	0	774.532751817591	0	0	0	2483.80997686411
Candidatus Azobacteroides pseudotrichonymphae	94.1921672599739	58.9601473568564	171.785285173644	70.7688887876735	46.33544689801	68.5979087761151	57.3827496115526	79.7849216663428	144.693225847348	48.1708601573645
Candidatus Bipolaricaulis anaerobius	62.5840574411907	86.4210379066251	85.8926425868219	44.8778319141344	78.8954906641792	48.6421534957907	88.8870043002481	90.3588269474243	58.279215966293	52.1850985038116
Candidatus Epulonipiscium viviparus	92.2956806708469	112.266581953466	36.1653231944513	22.4389159570672	166.557146957712	93.5426028765206	36.0048625013663	31.7217158432447	33.1588642566839	91.3239223816702
Candidatus Formimonas warabiya	1908.49767085813	1647.65343298612	4311.58462458849	1713.12492979917	1212.23547560199	1288.39345028594	1787.86645358347	1939.83098702024	4511.61516704579	619.196264939457
Candidatus Fukatsuia anoeciicola	36.0332451934128	64.6138601171029	16.952495247399	27.617127331775	0	99.778776401622	33.7545585950309	18.2640182127773	0	0
Candidatus Izemoplasma sp. B36	13.9075683202646	19.3841580351309	25.9938260460119	20.7128454988313	32.5600437661692	0	22.503039063354	12.4964335140055	21.1010954360716	38.1352642912469
Candidatus Karelsulcia muelleri	26.5508122477779	27.4608905497687	27.1239923958385	38.8365853103086	23.793878136816	28.6863982154663	32.6294066418632	43.2568852407882	29.1396079831465	0
Candidatus Liberibacter africanus	127.696763667884	165.573016550076	61.0289828906366	100.112086577684	152.781743825871	223.255012198629	243.032821884223	208.594313272246	173.832833830495	116.412912046964
Candidatus Mesenet endosymbiont of Agriotes lineatus	0	12.9227720234206	23.7334933463587	15.5346341241234	0	0	0	18.2640182127773	13.0625828889967	0
Candidatus Paracaedibacter symbiosus	6.32162196375664	13.7304452748844	0	0	0	13.719581755223	33.7545585950309	18.2640182127773	13.0625828889967	10.0355958661176
Candidatus Pelagibacter sp. RS40	31.6081098187832	32.3069300585515	0	32.7953387064828	60.1108500298509	0	0	0	18.0866532309185	39.1388238778587
Candidatus Phytoplasma solani	1598.73819463405	2659.66801707025	0	1573.31322268206	1307.41098814926	339.247839765515	813.484862140246	160.531107449147	100.481406838436	121.430709980023
Candidatus Planktophila vernalis	175.108928396059	118.727967965177	100.584805134568	138.948671887993	136.501721942786	0	31.5042546886955	37.4893005420165	32.1540501882996	0
Candidatus Portiera aleyrodidarum	13.9075683202646	34.7299498129428	20.3429942968789	8.63035229117969	47.5877562736319	23.6974593953852	36.0048625013663	25.9541311444729	15.0722110257654	48.1708601573645
Candidatus Rhabdochlamydia porcellionis	16.4362171057673	26.6532172983049	21.4731606467055	13.8085636658875	0	13.719581755223	25.8784949228571	26.9153952609349	10.0481406838436	0
Candidatus Sodalis pierantonius	34.7689208006615	37.960642818798	15.8223288975724	28.480162560893	30.0554250149254	32.4281023305271	60.7582054710557	40.3730928914024	29.1396079831465	20.0711917322352
Candidatus Tisiphia endosymbiont of Empis tessellata	257.290013924895	96.1131169241906	0	21.5758807279492	433.299043965175	0	74.2600289090681	42.2956211243263	17.0818391625342	0
Candidatus Velamenicoccus archaeovorus	42.9870293535451	109.035888947611	29.3843250954917	61.2755012673758	75.1385625373136	82.3174905313381	24.7533429696894	39.4118287749404	92.4428942913613	134.476984605976
Caproicibacterium amylolyticum	460.214078961483	836.749488516483	248.636596961853	472.943305556647	103.941678176617	306.819737434988	482.690187908942	364.319100139083	347.665667660989	313.110591022869
Caproicibacterium lactatifermentans	292.058934725557	592.832166574419	417.031383086017	842.322383619138	172.818693835821	1420.60032901809	428.682894156893	487.360907046214	638.05693342407	1337.74492895348
Caproiciproducens sp. CPB-2	209.87784919672	6147.20111689088	2633.28759509599	1042.54655677451	3546.5401517612	1260.9542867755	367.924688685837	524.850207588231	3506.80109866142	4920.45265315746
Capsulimonas corticalis	32.8724342115345	70.2675728773494	94.9339733854347	110.4685093271	51.3446844004976	14.9668164602433	40.5054703140371	59.5983752206416	30.1444220515309	36.1281451180234
Cellulosilyticum lentocellum	107.467573383863	75.9212856375959	63.2893155902898	38.8365853103086	125.230937562189	64.8562046610543	54.0072937520495	62.4821675700275	84.4043817442864	66.2349327163762
Chakrabartyella piscis	337.574612864604	96.9207901756543	198.909277569482	62.1385364964938	179.080240713931	81.0702558263179	194.651287898012	149.957202168066	89.4284520862082	43.1530622243057
Chlamydia avium	0	33.1146033100152	0	0	55.1016125273633	27.439163510446	23.6281910165217	0	37.1781205302214	37.1317047046352
Chordicoccus furentiruminis	11726.6087427686	53077.8630664456	14655.9972245514	9743.66773674187	12554.4014906095	16114.272388862	32546.1453973288	46031.0934808975	28078.5243269326	9451.52418670956
Citrobacter enshiensis	58.7910842629367	64.6138601171029	53.1178184418504	59.5494308091399	80.1478000398011	93.5426028765206	111.390043363602	95.1651475297341	88.4236380178239	63.2242539565409
Citrobacter gillenii	39.8262183716668	58.9601473568564	142.400960078152	46.6039023723703	93.923203171642	81.0702558263179	246.408277743726	247.044877930724	69.332170718521	37.1317047046352
Claveliimonas bilis	26426.2762950919	35544.0844504183	118709.282886737	29804.05860236	42742.5712993508	54223.5288007564	54019.6704235343	59395.5484920681	44839.8278016522	28926.6015244974
Clostridioides difficile	61366.5130509712	7936.19736888316	20384.8104518224	75948.8262328395	6287.84537499752	13660.9617240871	8692.92399017363	7734.33108105294	9061.41326869018	48918.5120493903
Clostridium acetobutylicum	9.48243294563496	9.69207901756543	0	16.3976693532414	0	12.4723470502027	0	11.5351693975435	0	16.0569533857882
Clostridium beijerinckii	106.203248991112	148.611878269337	123.1881321311	170.880975365358	70.129325034826	130.959644027129	115.890651176273	116.312958091897	103.495849043589	99.3523990745643
Clostridium botulinum	75.8594635650797	125.997027228351	76.851311788209	110.4685093271	53.8493031517414	130.959644027129	124.891866801614	115.351693975435	123.592130411277	180.640725590117
Clostridium butyricum	53.7337866919314	59.7678206083202	81.3719771875154	65.5906774129657	61.3631594054728	89.8008987614598	100.138523831925	127.848127489441	77.3706832655959	82.2918861021644
Clostridium felsineum	343.264072631985	289.147024024035	409.12021863723	367.653007604255	294.292703271145	351.720186815718	423.057134391054	392.19575951648	299.43459237854	320.135508129152
Clostridium ljungdahlii	36.6654073897885	57.3448008539288	19.2128279470523	81.9883467662071	25.0461875124379	47.3949187907704	79.8857886749065	74.017336967571	70.3369847869053	79.2812073423291
Clostridium manihotivorum	68.9056794049473	273.801232246224	77.9814781380356	117.372791160044	56.3539219029852	167.129450472717	270.036468760247	247.044877930724	166.799135351804	140.498342125647
Clostridium pasteurianum	44.2513537462965	40.3836625731893	64.4194819401164	71.6319240167915	88.9139656691544	49.889388200811	42.7557742203725	47.1019417066361	49.2358893508337	87.3096840352232
Clostridium perfringens	1318.05817944326	1714.69031285762	1104.17252378059	1297.14194936431	800.22569102239	1764.83710760369	1777.74008600496	1752.38448431015	1510.2355447817	1671.93027129519
Clostridium sp. 'deep sea'	146.029467362778	226.14851040986	200.039443919309	188.141679947717	28.8031156393035	364.19253386592	169.897944928322	191.29155917593	388.863044464748	354.256534073952
Clostridium sp. 16K-1-R1	4158.99508995549	3930.94571487425	2148.44623102037	4077.84145758241	1772.01776650498	6900.94962287718	4095.55310953042	3608.5854931982	4957.75261340844	6767.0022925231
Clostridium sp. JN-1	6.9537841601323	12.1150987719568	16.952495247399	85.440487682679	12.5230937562189	0	0	0	0	0
Clostridium sp. LQ25	0	13.7304452748844	22.6033269965321	38.8365853103086	0	0	0	22.1090746786251	12.0577688206123	15.0533937991764
Clostridium sp. M62/1	269.933257852408	130.03539348567	256.547761410639	126.866178680341	52.5969937761195	401.609575016528	481.565035955775	394.118287749404	129.621014821583	217.772430294752
Clostridium sp. MB40-C1	759.858960043548	1955.37694179383	2220.77687740928	1114.1784807913	2482.07718248259	1156.18657155379	2179.41933328583	1670.67703441089	3736.90352032144	476.690803640586
Clostridium sp. MD294	4830.35134250645	19511.7704088622	17846.4568301119	7141.6165209512	17695.1314775373	18931.7755875028	39275.6792292248	45046.7590256404	9398.02598159894	19300.4579697174
Clostridium sp. MT351	77.7559501542066	137.304452748844	151.442290876765	69.9058535585555	80.1478000398011	200.804787508264	128.267322661118	147.07340981868	126.60657261643	127.452067499694
Clostridium sp. SY8519	553.141921828706	222.917817404005	1437.57159697944	161.38758784506	365.674337681593	861.83918116901	1300.67565786186	1287.13265194257	202.972441813641	302.07143557014
Clostridium tetani	24.6543256586509	22.614851040986	0	0	0	36.169806445588	0	20.1865464457012	39.1877486669901	34.1210259447999
Companilactobacillus ginsenosidimutans	376.13650684352	360.222270152849	419.29171578567	500.560432888422	564.791528405474	266.908226874339	424.182286344222	313.372101966599	439.103747883966	536.904378837292
Coprobacter fastidiosus	374.872182450769	119.53564121664	524.397186319544	266.677885797453	224.163378236319	124.723470502027	84.3863964875773	370.086684837855	328.574200361686	182.64784476334
